[22:04:51] [trace   ] iKAN: Initializing...
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.013641119
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.01821351
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.01580429
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.016992807
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.016465664
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.018097878
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.01488018
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.017837524
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.016746283
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.016034365
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.016836405
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.017119884
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.015617847
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.01765275
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.01715684
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.014817953
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.01726079
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.017393827
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.015374184
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.017992258
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.01685524
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.0152003765
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.016668797
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.018051863
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.015082359
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.018679857
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.016959429
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.014481783
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.017490625
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.017177582
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.01570177
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.01819563
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.01643014
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.015946388
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.016300201
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.018726587
[22:04:55] [info    ] iKAN: 3.0, -6.8287883, 0.021844625
[22:04:55] [info    ] iKAN: 3.2, -6.8287883, 0.009253502
[22:04:55] [info    ] iKAN: 3.2, -6.967591, 0.017618418
[22:04:55] [info    ] iKAN: 3.3, -6.967591, 0.016126156
[22:04:55] [info    ] iKAN: 3.4, -6.967591, 0.016455173
[22:04:55] [info    ] iKAN: 3.5, -6.967591, 0.017793655
[22:04:55] [info    ] iKAN: 3.6, -6.967591, 0.01576233
[22:04:55] [info    ] iKAN: 3.7, -6.967591, 0.017291069
[22:04:55] [info    ] iKAN: 3.8, -6.967591, 0.016571999
[22:04:55] [info    ] iKAN: 3.9, -6.967591, 0.015909433
[22:04:55] [info    ] iKAN: 4.0, -6.967591, 0.016643763
[22:04:55] [info    ] iKAN: 4.1, -6.967591, 0.0175848
[22:04:55] [info    ] iKAN: 4.2, -6.967591, 0.016428232
[22:04:55] [info    ] iKAN: 4.3, -6.967591, 0.016771793
[22:04:55] [info    ] iKAN: 4.4, -6.967591, 0.017697811
[22:04:55] [info    ] iKAN: 4.5, -6.967591, 0.018916368
[22:04:55] [info    ] iKAN: 4.6, -6.967591, 0.0137479305
[22:04:55] [info    ] iKAN: 4.7, -6.967591, 0.017572641
[22:04:55] [info    ] iKAN: 4.8, -6.967591, 0.015177727
[22:04:55] [info    ] iKAN: 4.9, -6.967591, 0.019041538
[22:04:55] [info    ] iKAN: 5.0, -6.967591, 0.014135122
[22:04:55] [info    ] iKAN: 5.1, -6.967591, 0.0187819
[22:04:55] [info    ] iKAN: 5.2, -6.967591, 0.01346302
[22:04:55] [info    ] iKAN: 5.2, -6.967591, 0.018154144
[22:04:55] [info    ] iKAN: 5.2, -6.967591, 0.016303778
[22:04:55] [info    ] iKAN: 5.2, -6.967591, 0.018458843
[22:04:55] [info    ] iKAN: 5.0, -6.967591, 0.015242338
[22:04:55] [info    ] iKAN: 4.8, -6.967591, 0.016761303
[22:04:55] [info    ] iKAN: 4.6, -6.967591, 0.017671347
[22:04:55] [info    ] iKAN: 4.4, -6.967591, 0.014951706
[22:04:55] [info    ] iKAN: 4.2, -6.967591, 0.016703129
[22:04:55] [info    ] iKAN: 4.0, -6.967591, 0.01728344
[22:04:55] [info    ] iKAN: 3.8, -6.967591, 0.016626835
[22:04:55] [info    ] iKAN: 3.6, -6.967591, 0.015191555
[22:04:55] [info    ] iKAN: 3.4, -6.967591, 0.018306732
[22:04:55] [info    ] iKAN: 3.2, -6.967591, 0.016878128
[22:04:55] [info    ] iKAN: 3.0, -6.967591, 0.016245365
[22:04:55] [info    ] iKAN: 2.8, -6.967591, 0.016685963
[22:04:55] [info    ] iKAN: 2.6, -6.967591, 0.01735735
[22:04:55] [info    ] iKAN: 2.4, -6.967591, 0.014694691
[22:04:55] [info    ] iKAN: 2.2, -6.967591, 0.019554138
[22:04:55] [info    ] iKAN: 2.0, -6.967591, 0.015175343
[22:04:55] [info    ] iKAN: 1.8, -6.967591, 0.01690054
[22:04:55] [info    ] iKAN: 1.6, -6.967591, 0.017326832
[22:04:55] [info    ] iKAN: 1.4, -6.967591, 0.017344475
[22:04:55] [info    ] iKAN: 1.4, -6.967591, 0.01347971
[22:04:55] [info    ] iKAN: 1.4, -6.967591, 0.018248081
[22:04:55] [info    ] iKAN: 1.4, -6.967591, 0.016631603
[22:04:55] [info    ] iKAN: 1.4, -6.967591, 0.015285015
[22:04:55] [info    ] iKAN: 1.4, -6.967591, 0.018053055
[22:04:55] [info    ] iKAN: 1.4, -6.967591, 0.01736927
[22:04:55] [info    ] iKAN: 1.4, -6.967591, 0.014231682
[22:04:55] [info    ] iKAN: 1.4, -6.967591, 0.018368721
[22:04:55] [info    ] iKAN: 1.4, -6.967591, 0.016819954
[22:04:55] [info    ] iKAN: 1.4, -6.967591, 0.015161037
[22:04:55] [info    ] iKAN: 1.4, -6.967591, 0.018238544
[22:04:55] [info    ] iKAN: 1.4, -6.967591, 0.01699543
[22:04:55] [info    ] iKAN: 1.4, -6.967591, 0.014735699
[22:04:55] [info    ] iKAN: 1.4, -6.967591, 0.018088818
[22:04:55] [info    ] iKAN: 1.4, -6.967591, 0.016783237
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.015963554
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.018107414
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.016577244
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.014418125
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.018658161
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.016667843
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.0144581795
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.018375874
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.017334938
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.014782429
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.017996788
